Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
EK,Livestock Patterns,220,Trinidad and Tobago,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.01,Fc,Calculated data
EK,Livestock Patterns,222,Tunisia,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.01,Fc,Calculated data
EK,Livestock Patterns,223,Turkey,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.01,Fc,Calculated data
EK,Livestock Patterns,213,Turkmenistan,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.01,Fc,Calculated data
EK,Livestock Patterns,226,Uganda,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.09,Fc,Calculated data
EK,Livestock Patterns,230,Ukraine,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0,Fc,Calculated data
EK,Livestock Patterns,225,United Arab Emirates,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.48,Fc,Calculated data
EK,Livestock Patterns,229,United Kingdom,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0,Fc,Calculated data
EK,Livestock Patterns,215,Tanzania,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.04,Fc,Calculated data
EK,Livestock Patterns,231,United States,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0,Fc,Calculated data
EK,Livestock Patterns,234,Uruguay,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0,Fc,Calculated data
EK,Livestock Patterns,235,Uzbekistan,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.01,Fc,Calculated data
EK,Livestock Patterns,155,Vanuatu,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.01,Fc,Calculated data
EK,Livestock Patterns,236,Venezuela,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.01,Fc,Calculated data
EK,Livestock Patterns,237,Vietnam,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.01,Fc,Calculated data
EK,Livestock Patterns,249,Yemen,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.04,Fc,Calculated data
EK,Livestock Patterns,251,Zambia,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.01,Fc,Calculated data
EK,Livestock Patterns,181,Zimbabwe,7213,Livestock units per agricultural land area,1016,Goats,2010,2010,LSU/ha,0.03,Fc,Calculated data
