eco_code,Annual crops,Permanent crops,Pasture,Urban,Extensive forestry,Intensive forestry
AA1209,3.52168147510912E-12,2.75695967318647E-12,1.91983265411686E-12,5.12820314666346E-12,4.41531320800368E-13,1.36243115325992E-12
AA1210,8.51809071134904E-12,6.49450417145582E-12,4.65046766936637E-12,1.21678511621558E-11,1.25854300899779E-12,3.32229352949844E-12
AA1301,2.55963295732802E-12,2.43867023856904E-12,2.08453515154002E-12,4.47946850523754E-12,3.35262800380486E-13,1.13642737680031E-12
AA1302,8.0841754045191E-13,7.61494020994308E-13,6.38342151424786E-13,1.38642081769187E-12,NaN,NaN
AA1303,9.87499949926533E-13,9.08032689587383E-13,7.84181838077611E-13,NaN,NaN,NaN
AA1304,2.95099661984099E-13,2.53401473111329E-13,2.42701386698275E-13,5.16542004828997E-13,4.14948777536323E-14,1.3177296369121E-13
AA1305,4.73326431252245E-13,4.49232169504599E-13,3.76849268748312E-13,NaN,NaN,NaN
AA1306,8.99302501361879E-13,8.7076727047261E-13,6.97918870817585E-13,NaN,NaN,NaN
AA1307,1.25886922300647E-12,1.2084035129001E-12,1.03951465244992E-12,2.310951277836E-12,1.73762439484087E-13,5.88955063679772E-13
AA1308,3.45061105516855E-13,3.13248367532854E-13,3.02995757460463E-13,NaN,4.55909318863911E-14,1.53876713951236E-13
AA1309,6.61099778479795E-13,6.29841997317971E-13,5.60645774823775E-13,1.19247527969087E-12,8.91110392726272E-14,2.9386485330619E-13
AA1310,4.85915711665879E-13,4.39213583656107E-13,3.86163676689566E-13,NaN,6.32463168489358E-14,2.11316223890512E-13
AA1401,5.49866994249546E-12,5.80266821389749E-12,2.25567105463737E-12,1.02969505264849E-11,1.79678571932834E-12,3.6315151329268E-12
AT0101,8.39742266766686E-12,6.35353910690374E-12,4.56145220192836E-12,1.17019030411925E-11,1.45442678301247E-12,5.89281457002476E-12
AT0102,3.21302444778027E-12,2.35169942341806E-12,1.89973046302172E-12,4.38875944084966E-12,7.23173261078265E-13,2.06310940990934E-12
AT0103,1.60817743907285E-11,1.20157372432845E-11,8.25200215468406E-12,2.20016859428645E-11,3.58829223999027E-12,1.07845237483191E-11
AT0104,1.3572924085007E-12,9.70672487268927E-13,5.8096652199498E-13,1.83032156920295E-12,NaN,1.08520243604209E-12
AT0105,3.92043888365953E-11,3.35138774279759E-11,2.29358406649242E-11,5.05087154072317E-11,6.58189152508234E-12,2.70690895642241E-11
AT0106,2.60830455229298E-11,2.00450531117103E-11,1.20899102571733E-11,3.34320477923143E-11,5.16054776515841E-12,1.62734571062837E-11
AT0107,1.34111071481831E-11,9.82455297363167E-12,5.99515093028027E-12,1.77431112623816E-11,3.4175294708726E-12,8.69032985220928E-12
AT0108,9.79895827463845E-12,6.89295479571547E-12,6.35955354439181E-12,1.4219401583964E-11,1.71459162117158E-12,6.05162249260412E-12
AT0109,2.44897887098118E-11,1.69990254869272E-11,1.49870504138392E-11,3.61873924216904E-11,5.11802956629776E-12,1.4597168178236E-11
AT0110,5.46278143154953E-12,3.95100299256087E-12,2.24573927231891E-12,7.69523961444072E-12,NaN,4.5205717758807E-12
AT0111,4.02084010941757E-12,3.45149513550904E-12,1.65730151346554E-12,5.18913256694261E-12,6.33320626134083E-13,2.46784174910739E-12
AT0112,2.27446443048177E-12,1.61417133360657E-12,1.43838550620622E-12,3.16543004044253E-12,3.9012443370084E-13,1.40686784156779E-12
AT0113,NaN,NaN,3.31194281456646E-10,NaN,NaN,NaN
AT0114,1.38710408126224E-11,9.82414658891678E-12,9.46962892179125E-12,2.10405486254893E-11,2.48103301768199E-12,8.55292932154662E-12
AT0115,7.85526737655773E-11,5.93725473465523E-11,5.45253689797279E-11,1.21008823335432E-10,1.34914749679647E-11,5.24504890107596E-11
AT0116,2.76285019405887E-11,2.10428520822719E-11,1.33747536867165E-11,3.54124871480662E-11,5.21788889732316E-12,1.76577706010902E-11
AT0117,3.72872098781807E-12,2.5340093029396E-12,2.11272640235707E-12,4.48557585210656E-12,7.50004513302939E-13,2.0712767009646E-12
